,winner_index,loser_index
698,261,28
699,261,28
700,261,28
701,261,28
702,28,261
703,28,261
704,28,261
705,936,1046
706,107,1046
707,1420,1046
708,1046,666
709,563,427
710,1163,706
711,853,1017
712,1017,1029
713,1029,1017
714,417,146
715,417,1066
716,296,1269
717,296,980
718,296,1269
719,296,1269
720,973,333
721,973,333
722,333,973
723,973,333
724,60,827
725,827,60
726,60,827
727,827,60
728,827,60
729,827,60
730,60,827
731,70,1424
732,70,1424
733,70,1424
734,70,1424
735,70,1424
736,70,1424
737,70,1424
738,70,1424
739,70,1424
740,1123,330
741,603,598
742,428,193
743,730,1199
744,200,385
745,1123,836
746,1123,836
747,1123,836
748,1123,836
749,1123,836
750,825,1156
751,825,1156
752,825,1156
753,825,1156
754,15,1156
755,55,1156
756,862,744
757,446,744
758,446,744
759,446,744
760,744,920
761,1029,744
762,1029,744
763,1274,331
764,1274,331
765,1274,331
766,1274,331
767,900,331
768,331,900
769,900,331
770,331,900
771,900,331
772,900,331
773,900,331
774,900,331
775,900,331
776,159,331
777,159,331
778,159,331
779,159,331
780,159,331
781,862,1117
782,1172,1342
783,707,1390
784,707,1390
785,92,15
786,92,910
787,92,910
788,92,910
789,92,910
790,92,386
791,501,846
792,1031,1177
793,1031,1177
794,1031,1177
795,1031,1177
796,83,240
797,83,850
798,1292,83
799,751,1089
800,751,1089
801,751,1089
802,751,1089
803,839,1200
804,839,1339
805,839,1200
806,839,1200
807,1200,839
808,437,993
809,1376,926
810,1376,926
811,1376,926
812,1376,926
813,926,1376
814,926,1376
815,926,1376
816,1376,926
817,926,1376
818,1376,926
819,926,1376
820,926,1376
821,926,1376
822,1376,926
823,926,1376
824,926,1376
825,926,1376
826,926,1376
827,1376,926
828,926,1376
829,926,1376
830,926,1376
831,1211,1214
832,1211,1214
833,1214,1211
834,346,1112
835,1112,346
836,1041,698
837,698,1041
838,1041,698
839,698,1041
840,698,86
841,698,86
842,698,86
843,86,698
844,1004,978
845,1141,1397
846,1141,1397
847,409,447
848,447,409
849,409,447
850,447,409
851,409,447
852,447,409
853,1213,1008
854,876,221
855,913,249
856,913,249
857,913,249
858,249,913
859,604,1341
860,190,1341
861,1341,604
862,1341,257
863,257,1341
864,1341,1149
865,1149,1341
866,1341,573
867,573,1341
868,1121,416
869,979,803
870,803,979
871,803,979
872,684,792
873,149,56
874,149,56
875,149,56
876,149,56
877,149,56
878,149,56
879,958,679
880,958,679
881,958,679
882,679,958
883,958,1023
884,958,682
885,958,682
886,1104,672
887,1104,603
888,1049,1339
889,1339,1049
890,1339,1049
891,1339,1049
892,875,271
893,816,271
894,1377,1212
895,1377,184
896,824,156
897,482,1266
898,1266,482
899,955,1232
900,955,1232
901,266,1347
902,1347,162
903,146,815
904,815,278
905,240,102
906,240,102
907,301,102
908,301,102
909,102,301
910,301,102
911,102,301
912,301,102
913,301,102
914,878,893
915,107,878
916,934,878
917,933,430
918,430,933
919,430,933
920,430,933
921,933,430
922,933,430
923,430,933
924,430,933
925,430,933
926,430,933
927,430,933
928,430,933
929,430,933
930,430,933
931,430,933
932,430,933
933,430,933
934,430,933
935,430,933
936,450,26
937,1306,868
938,241,852
939,539,736
940,736,1392
941,824,488
942,585,488
943,585,488
944,1430,811
945,213,824
946,778,585
947,778,585
948,1216,880
949,119,715
950,715,119
951,390,509
952,509,390
953,509,390
954,390,509
955,215,1111
956,746,984
957,1175,955
958,1008,892
959,97,125
960,1366,125
961,125,799
962,1121,1015
963,374,220
964,579,1009
965,579,1009
966,579,1009
967,579,1009
968,579,1009
969,579,1009
970,579,1009
971,579,1009
972,579,1009
973,816,1071
974,1121,595
975,1108,1083
976,1108,1083
977,1108,1083
978,1108,1083
979,1108,811
980,1108,811
981,1108,811
982,474,482
983,474,482
984,195,1349
985,575,682
986,682,575
987,1158,116
988,1158,116
989,116,1158
990,1158,116
991,753,116
992,753,116
993,753,116
994,581,587
995,581,587
996,581,587
997,581,587
998,563,587
999,1098,988
1000,1098,988
1001,1106,154
1002,1106,154
1003,1106,154
1004,1106,154
1005,1021,1023
1006,1021,225
1007,1021,1023
1008,901,219
1009,901,219
1010,901,219
1011,901,219
1012,448,175
1013,388,175
1014,615,899
1015,899,615
1016,899,615
1017,615,899
1018,899,615
